productName,category,unit
3M 2080 Gloss Black  | G12,Vinyl Wrap ,ft
3M 2080 Satin Black  | S12,Vinyl Wrap ,ft
3M 2080 Gloss White  | G10,Vinyl Wrap ,ft
3M 2080 Matte Black  | M12,Vinyl Wrap ,ft
3M 2080 Satin Dark Gray  | S261,Vinyl Wrap ,ft
3M 2080 Black Carbon Fiber  | CFS1,Vinyl Wrap ,ft
3M 2080 Gloss Black Metallic  | G212,Vinyl Wrap ,ft
3M 2080 Matte Deep Black  | M22,Vinyl Wrap ,ft
3M 2080 Gloss Hot Rod Red  | G13,Vinyl Wrap ,ft
3M 2080 Gloss White Aluminum  | G120,Vinyl Wrap ,ft
3M 2080 Matte Military Green  | M26,Vinyl Wrap ,ft
3M 2080 Matte Dark Gray  | M261,Vinyl Wrap ,ft
3M 2080 Satin Flip Ghost Pearl  | SP280,Vinyl Wrap ,ft
3M 2080 High Gloss Black  | HG12,Vinyl Wrap ,ft
3M 2080 Gloss Dragon Fire Red  | G363,Vinyl Wrap ,ft
3M 1080 Gloss Atomic Teal  | G356,Vinyl Wrap ,ft
3M 2080 Gloss Flip Deep Space GP278,Vinyl Wrap ,ft
3M 2080 Satin Vampire Red  | SP273,Vinyl Wrap ,ft
3M 2080 Satin Pearl White  | SP10,Vinyl Wrap ,ft
3M 2080 Satin Frozen Vanilla  | SP240,Vinyl Wrap ,ft
3M 1080 Gloss Cosmic Blue  | G377,Vinyl Wrap ,ft
3M 2080 Gloss Blue Raspberry  | G378,Vinyl Wrap ,ft
3M 1080 Gloss Plum Explosion  | GP258,Vinyl Wrap ,ft
3M 2080 Gloss Flip Psychedelic  | GP281,Vinyl Wrap ,ft
3M 2080 Gloss Anthracite  | G201,Vinyl Wrap ,ft
3M 1080 Gloss Blue Fire  | G337,Vinyl Wrap ,ft
3M 2080 Satin Flip Psychedelic  | SP281,Vinyl Wrap ,ft
3M 2080 Satin Battleship Gray  | S51,Vinyl Wrap ,ft
3M 2080 Gloss Burnt Orange  | G14,Vinyl Wrap ,ft
3M 2080 Satin Gold Dust Black  | SP242,Vinyl Wrap ,ft
3M 2080 Gloss Bright Yellow  | G15,Vinyl Wrap ,ft
3M 2080 Shadow Black Textured  | SB12,Vinyl Wrap ,ft
3M 2080 Gloss Light Green  | G16,Vinyl Wrap ,ft
3M Neon Fluorescent Wrap Film | Satin Neon Yellow | VCW17076,Vinyl Wrap ,ft
3M 2080 Satin White Aluminum  | S120,Vinyl Wrap ,ft
